board,goal,textgoal,toolbox,defines,globals,syntax,animationScales,tutorialUrl
"['[_, _]']","['[""star"", 1]']","A Pair has two elements. We call the head one key, the second one value.","[""'star'"", '1']",,{},[],{},
"['[_, _, _]', '[_, _]','[_, _]','[_, _]' ]","['[[""star"", 5], [""rect"", 4], [""triangle"", 3]]']",We can have a list of pairs,"[""'star'"", ""'rect'"", ""'triangle'"", '5', '3', '4']",,{},[],{},
"['function getKey(pair) { return get(pair, 0); }', 'function getValue(pair) { return get(pair, _); }', 'getKey(_)', 'getValue(_)', '[""star"", 5]', 'x=>xx']","['5', ""'star'""]",Define functions that separate the items in the pair!,"['0', '1']","['function getKey(pair) { return get(pair, 0); }', 'function getValue(pair) { return get(pair, 1); }']",{},[],{},
"['[[""star"", 5], [""rect"", 4], [""triangle"", 3]]', 'get']",['3'],"Get the pair first, then get the value.","['getValue', 'getKey', '0', '1', '2']",,{},[],{},
"['function findValue(list, key) {return getKey(_) == key ? _ : findValue(_, key);}', '[[""star"", 5], [""rect"", 4], [""triangle"", 3]]', 'findValue(_, _)']",['5'],Define a function that finds the value given the key.,"[""'star'"", ""'rect'"", ""'triangle'"", '__unlimited; list', '__unlimited; head', '__unlimited; tail', 'getValue', 'getKey']","['function findValue(list, key) {return getKey(head(list)) == key ? getValue(head(list)) : findValue(tail(list), key);}']",{},[],{},
"['function findKey(list, value) {return _ == _ ? _ : findKey(_, _);}', 'getValue(_)', ""[['star', 5], ['rect', 4], ['triangle', 3]]"", 'findKey(_, _)']","[""'star'""]",Define a function that finds the key given the value.,"['5','4', '3', '__unlimited; list', '__unlimited; head', '__unlimited; tail',  '__unlimited; value', 'getValue', 'getKey']","['function findKey(list, value) {return 0;}']",{},[],{},
"['function createPair(key, value) {return concat([_], [_]); }', 'createPair(_, _)', 'key', 'value' ]","['[""star"", 5]']",Concat adds two lists together. Use it to create pairs!,"[""'star'"", '5']","['function createPair(key, value) {return concat([key], [value]); }']",{},[],{},
"['function updatePair(pair, newValue) {return _; }', 'updatePair(_,_)', '[""star"", 1]', 'pair', 'newValue', 'createPair']","['[""star"", 5]']",Update the value of the pair to something new!,"[""'star'"", '5', 'getKey', 'getValue']","['function updatePair(oldpair, newValue) {return createPair(getKey(oldpair), newValue); }']",{},[],{},
"['[[""Amy"", ""🙂""], [""Tony"", ""🙁""], [""Eric"", ""🙂""], [""Michelle"", ""🙁""]]', 'getValue', 'function countHappy(list) {return list == [] ? 0 : _;}', 'countHappy(_)', '_ == ""🙂"" ? _ + countHappy(_) : _', 'countHappy']",['2'],How many people are happy?,"['__unlimited; head', '__unlimited; list', '__unlimited; tail', '1', '0', '_+_']",,{},[],{},
"['[[""Amy"", ""🙂""], [""Tony"", ""🙁""], [""Eric"", ""🙂""], [""Michelle"", ""🙁""]]', 'function countHappy(list) {return _;}', 'countCondition', 'x => _ == _', 'x', '""🙂""', 'list', 'countHappy']",['2'],"Of course, we can also count happy with countCondition","['head', 'tail', 'getValue']",,{},[],{},
"['[[""Amy"", ""🙂""], [""Tony"", ""🙁""], [""Eric"", ""🙂""], [""Michelle"", ""🙁""]]', 'function getSad(list) {return _ == [] ? [] : (getValue(head(list)) == ""🙁"" ? cons(_, getSad(_)) : _);}', 'getSad', 'getSad']","['[""Tony"", ""Michelle""]']",Get a list of all the people who are sad,"['__unlimited; head', '__unlimited; tail', '__unlimited; list', 'getValue', 'getKey', 'getSad']",,{},[],{},
"['[[""Amy"", ""🙂""], [""Tony"", ""🙁""], [""Eric"", ""🙂""], [""Michelle"", ""🙁""]]', 'function happyToExcited(list) {return _ == [] ? _ : (_ == ""🙂"" ? cons(_,  happyToExcited(_)) : cons(_, _));}', 'getValue', 'updatePair', 'happyToExcited', '""😆""']","['[[""Amy"", ""😆""], [""Tony"", ""🙁""], [""Eric"", ""😆""], [""Michelle"", ""🙁""]]']",The happy people are now excited. Update the list!,"['__unlimited; head', '__unlimited; tail', '__unlimited; list', 'getKey', 'getSad', '[]', 'happyToExcited']",,{},[],{},
